transaction_id,created_at_UTC,user_phone,amount_paid_cents,zip_code,spot_id
417,2021-08-08 23:51:44,1-363-464-8484,1 786,99-681,11
418,2022-06-11 18:14:00,(586) 614-4315,3 221,83357,2
419,2022-01-17 09:51:07,(318) 818-8182,3 075,3205,7
420,2021-01-22 02:41:03,(652) 183-1535,852,19546,7
421,2021-11-10 15:55:50,(657) 171-2653,1 476,52380-85630,4
422,2021-03-27 02:26:47,(764) 635-4716,4 039,8667,5
423,2022-03-24 05:08:52,1-963-314-7325,7 072,69379,10
424,2022-07-15 05:39:40,(597) 197-4632,6 115,80671,9
425,2021-06-03 14:25:52,1-838-351-3900,9 299,10278,13
426,2022-01-08 21:09:05,(502) 766-8372,5 527,30785,14
427,2021-06-21 12:34:58,1-773-832-9524,2 966,65527,1
428,2022-07-20 04:03:59,(335) 426-6573,2 320,84018,6
429,2020-11-20 15:12:53,(794) 274-8612,7 412,6701,3
430,2022-06-17 05:11:55,(536) 330-9385,9 004,2131,3
431,2021-01-31 13:10:17,1-755-150-5166,4 768,8576,14
432,2021-12-01 18:59:12,(863) 725-1833,9 693,6211,8
433,2021-12-06 20:11:50,1-311-364-7110,8 027,7856,12
434,2021-03-05 20:17:00,1-674-229-6285,1 647,6989,6
435,2021-11-22 06:36:28,1-856-131-4194,299,6522,4
436,2020-11-24 05:02:29,(307) 831-2827,573,18786,8
437,2022-05-06 20:58:50,1-769-933-1354,3 019,03384,7
438,2021-01-04 02:21:36,1-587-613-7385,1 425,28672,9
439,2021-09-01 17:47:50,(606) 435-4456,3 831,A9Y 3G4,1
440,2021-04-05 20:36:36,(326) 826-8521,9 846,86694,10
441,2022-09-28 19:05:57,(483) 756-5585,7 315,13634,9
442,2022-08-11 06:10:23,(929) 902-5420,4 087,929885,14
443,2020-12-13 12:59:10,1-362-674-7527,2 472,64218,11
444,2021-06-21 00:40:04,(277) 517-3855,4 792,455467,12
445,2022-02-09 04:05:09,1-498-785-3783,5 195,2645,9
446,2022-05-20 03:00:42,1-466-604-1780,6 421,13626,8
447,2021-06-14 07:08:41,1-375-807-4939,2 276,428729,14
448,2021-09-26 20:28:21,1-919-598-1148,6 535,14882,9
449,2021-05-03 15:44:53,(994) 214-0059,994,18466,10
450,2021-05-04 18:33:37,(665) 518-1362,6 373,41700,6
451,2022-06-02 03:49:15,(751) 526-3274,6 093,10816,13
452,2021-03-11 18:15:36,1-135-675-1431,304,64153,1
453,2022-06-24 13:29:35,(825) 326-3835,1 908,25851-22584,7
454,2020-12-04 15:52:20,(384) 233-2788,5 371,214518,9
455,2022-01-30 23:01:06,(142) 153-8543,543,760043,10
456,2022-11-04 04:10:47,1-645-870-4256,4 096,32626,5
457,2022-06-30 16:12:22,1-960-462-7792,7 618,4566,8
458,2022-02-26 19:50:28,(367) 243-5636,4 179,52527,1
459,2021-02-22 22:10:54,1-778-788-5086,7 232,34085,6
460,2021-02-09 23:37:40,(101) 717-2177,2 261,12015,15
461,2021-01-06 07:51:03,(742) 691-8754,5 413,04-281,11
462,2022-02-04 02:40:03,(707) 379-7814,6 768,242260,11
463,2021-12-23 14:16:32,1-499-863-9523,3 517,72550,9
464,2022-02-04 18:39:34,(944) 976-7427,5 642,242647,5
465,2021-04-14 13:55:49,1-819-418-9060,1 561,276863,7
466,2022-03-02 05:17:20,1-234-446-3923,2 780,636269,11
467,2021-03-20 02:56:45,1-528-881-4796,3 784,272577,2
468,2021-05-08 06:17:15,(868) 834-5275,1 657,25766,8
469,2021-04-23 04:17:13,(953) 208-4463,2 636,83066,14
470,2021-03-29 17:42:22,1-698-347-0295,1 795,656635,7
471,2021-01-26 15:28:41,(163) 330-7439,2 188,530264,14
472,2022-02-06 07:43:08,(792) 373-4477,8 124,14841,12
473,2021-10-03 20:10:59,1-567-135-6815,7 994,38434,5
474,2021-10-10 08:10:48,1-203-882-6259,2 786,10105,4
475,2021-05-28 16:42:54,1-848-522-3363,1 890,85751,12
476,2021-09-02 22:30:27,(336) 553-4639,8 898,668452,12
477,2020-12-07 05:35:59,1-964-172-9170,206,841721,7
478,2021-02-17 02:16:41,1-833-325-2726,3 122,56B 3Z0,14
479,2021-10-25 13:34:22,1-923-582-3828,4 359,47104,4
480,2021-09-08 17:16:58,(983) 513-1475,1 495,NA70 6XD,12
481,2021-10-02 09:30:20,1-651-752-8671,8 937,Q63 1NJ,13
482,2022-10-15 08:57:26,(284) 284-9357,7 239,252466,8
483,2021-05-31 06:55:47,(726) 376-3271,6 198,262929,14
484,2021-03-29 13:40:57,1-964-594-6277,8 532,11308,6
485,2021-06-07 06:41:50,(578) 854-4087,6 407,Y1 3GO,13
486,2021-06-30 16:53:55,1-212-729-5532,8 500,600583,10
487,2021-03-10 10:07:57,1-491-417-7835,173,6621,5
488,2021-10-23 12:14:42,(756) 632-2713,1 566,23774,11
489,2022-01-29 07:16:12,1-452-313-6194,3 043,985181,10
490,2021-01-08 03:10:23,(547) 276-1972,3 899,89246,7
491,2021-12-12 19:34:55,1-808-506-9573,2 633,3803,14
492,2021-01-22 18:57:16,(330) 414-3363,7 563,447850,10
493,2020-12-10 23:25:37,1-801-355-3659,2 751,748242,5
494,2022-07-17 11:40:41,(518) 307-7303,6 607,845341,10
495,2022-04-19 13:52:26,(741) 335-7288,587,56857,8
496,2021-07-22 19:13:06,1-278-651-4151,2 980,78044,11
497,2021-01-08 02:11:36,1-468-342-4234,4 765,29851,2
498,2022-09-12 12:11:23,1-230-418-4937,3 250,8381,2
499,2021-09-24 17:23:55,1-235-612-7555,9 569,21857,5
500,2020-11-23 22:30:45,1-793-585-1351,1 871,156188,14
